polaAtasanlk1	11
patasanlk1	43.0	58.75
patasanlk1	73.0	50.0
patasanlk1	76.75	60.0
patasanlk1	84.25	70.0
patasanlk1	101.75	70.0
patasanlk1	101.75	241.25
patasanlk1	30.5	241.25
patasanlk1	30.5	115.0
patasanlk1	38.0	110.0
patasanlk1	41.75	105.0
patasanlk1	48.0	86.25
polaAtasanlk2	11
patasanlk2	126.75	70.0
patasanlk2	144.25	70.0
patasanlk2	151.75	60.0
patasanlk2	155.5	50.0
patasanlk2	185.5	58.75
patasanlk2	180.5	95.0
patasanlk2	186.75	105.0
patasanlk2	190.5	110.0
patasanlk2	198.0	115.0
patasanlk2	198.0	241.25
patasanlk2	126.75	241.25
polaAtasanlk3	18
patasanlk3	293.0	58.75
patasanlk3	323.0	50.0
patasanlk3	326.75	52.5
patasanlk3	334.25	56.25
patasanlk3	344.25	56.25
patasanlk3	351.75	52.5
patasanlk3	355.5	50.0
patasanlk3	385.5	58.75
patasanlk3	380.5	95.0
patasanlk3	386.75	105.0
patasanlk3	390.5	110.0
patasanlk3	398.0	115.0
patasanlk3	398.0	241.25
patasanlk3	280.5	241.25
patasanlk3	280.5	115.0
patasanlk3	288.0	110.0
patasanlk3	291.75	105.0
patasanlk3	298.0	86.25
polaLeherlk1	10
pleherlk1	34.5	261.25
pleherlk1	83.25	262.5
pleherlk1	132.0	261.25
pleherlk1	135.75	258.75
pleherlk1	132.0	273.75
pleherlk1	115.75	277.5
pleherlk1	83.25	277.5
pleherlk1	50.75	277.5
pleherlk1	34.5	273.75
pleherlk1	30.75	258.75
polaLenganlk1	13
plenganlk1	49.25	300.0
plenganlk1	95.5	303.75
plenganlk1	118.0	303.75
plenganlk1	118.0	391.25
plenganlk1	95.5	391.25
plenganlk1	49.25	395.0
plenganlk1	41.75	382.5
plenganlk1	30.5	370.0
plenganlk1	20.5	357.5
plenganlk1	18.0	347.5
plenganlk1	20.5	337.5
plenganlk1	30.5	325.0
plenganlk1	41.75	312.5
polaLenganlk2	13
plenganlk2	236.75	300.0
plenganlk2	190.5	303.75
plenganlk2	168.0	303.75
plenganlk2	168.0	391.25
plenganlk2	190.5	391.25
plenganlk2	236.75	395.0
plenganlk2	244.25	382.5
plenganlk2	255.5	370.0
plenganlk2	265.5	357.5
plenganlk2	268.0	347.5
plenganlk2	265.5	337.5
plenganlk2	255.5	325.0
plenganlk2	244.25	312.5
polaCelanalk1	18
pcelanalk1	80.5	445.0
pcelanalk1	80.5	497.5
pcelanalk1	81.75	502.5
pcelanalk1	93.0	515.0
pcelanalk1	86.75	605.0
pcelanalk1	83.0	687.5
pcelanalk1	28.0	687.5
pcelanalk1	24.25	605.0
pcelanalk1	19.25	515.0
pcelanalk1	20.5	497.5
pcelanalk1	30.5	442.5
pcelanalk1	43.0	442.5
pcelanalk1	46.75	470.0
pcelanalk1	50.5	442.5
pcelanalk1	55.5	443.75
pcelanalk1	60.5	445.0
pcelanalk1	64.25	470.0
pcelanalk1	68.0	445.0
polaCelanalk2	5
pcelanalk2	80.5	445.0
pcelanalk2	89.25	445.0
pcelanalk2	89.25	475.0
pcelanalk2	86.75	490.0
pcelanalk2	80.5	497.5
polaCelanalk3	18
pcelanalk3	155.5	445.0
pcelanalk3	155.5	497.5
pcelanalk3	154.25	502.5
pcelanalk3	143.0	515.0
pcelanalk3	149.25	605.0
pcelanalk3	153.0	687.5
pcelanalk3	208.0	687.5
pcelanalk3	211.75	605.0
pcelanalk3	216.75	515.0
pcelanalk3	215.5	497.5
pcelanalk3	205.5	442.5
pcelanalk3	193.0	442.5
pcelanalk3	189.25	470.0
pcelanalk3	185.5	442.5
pcelanalk3	180.5	443.75
pcelanalk3	175.5	445.0
pcelanalk3	171.75	470.0
pcelanalk3	168.0	445.0
polaCelanalk4	5
pcelanalk4	155.5	445.0
pcelanalk4	146.75	445.0
pcelanalk4	146.75	475.0
pcelanalk4	149.25	490.0
pcelanalk4	155.5	497.5
polaCelanalk5	13
pcelanalk5	293.0	437.5
pcelanalk5	304.25	490.0
pcelanalk5	311.75	502.5
pcelanalk5	323.0	515.0
pcelanalk5	306.75	605.0
pcelanalk5	303.0	687.5
pcelanalk5	241.75	687.5
pcelanalk5	235.5	605.0
pcelanalk5	229.25	515.0
pcelanalk5	229.25	442.5
pcelanalk5	261.75	442.5
pcelanalk5	265.5	470.0
pcelanalk5	269.25	442.5
polaCelanalk6	13
pcelanalk6	383.0	437.5
pcelanalk6	371.75	490.0
pcelanalk6	364.25	502.5
pcelanalk6	353.0	515.0
pcelanalk6	369.25	605.0
pcelanalk6	373.0	687.5
pcelanalk6	434.25	687.5
pcelanalk6	440.5	605.0
pcelanalk6	446.75	515.0
pcelanalk6	446.75	442.5
pcelanalk6	414.25	442.5
pcelanalk6	410.5	470.0
pcelanalk6	406.75	442.5
atasanlk1	15
vatasanlk1	202.0	220.0	0.0	0.0
vatasanlk1	207.0	230.0	100.0	0.0
vatasanlk1	227.0	240.0	100.0	100.0
vatasanlk1	247.0	230.0	0.0	100.0
vatasanlk1	252.0	220.0	0.0	0.0
vatasanlk1	282.0	240.0	100.0	0.0
vatasanlk1	272.0	285.0	100.0	100.0
vatasanlk1	272.0	300.0	0.0	100.0
vatasanlk1	282.0	320.0	0.0	0.0
vatasanlk1	282.0	420.0	100.0	0.0
vatasanlk1	172.0	420.0	100.0	100.0
vatasanlk1	172.0	320.0	0.0	100.0
vatasanlk1	182.0	300.0	0.0	0.0
vatasanlk1	182.0	285.0	100.0	0.0
vatasanlk1	172.0	240.0	100.0	100.0
garisAtasanlk	2
vgarisatasanlk	227.0	240.0
vgarisatasanlk	227.0	420.0
leherlk1	10
vleherlk1	202.0	220.0	0.0	0.0
vleherlk1	187.0	230.0	0.0	0.0
vleherlk1	192.0	240.0	0.0	0.0
vleherlk1	207.0	230.0	0.0	0.0
vleherlk1	227.0	240.0	0.0	0.0
vleherlk1	247.0	230.0	0.0	0.0
vleherlk1	262.0	240.0	0.0	0.0
vleherlk1	267.0	230.0	0.0	0.0
vleherlk1	252.0	220.0	0.0	0.0
vleherlk1	227.0	215.0	0.0	0.0
leherlk2	6
vleherlk2	199.0	235.0	0.0	0.0
vleherlk2	227.0	240.0	0.0	0.0
vleherlk2	255.0	235.0	0.0	0.0
vleherlk2	247.0	230.0	0.0	0.0
vleherlk2	227.0	240.0	0.0	0.0
vleherlk2	207.0	230.0	0.0	0.0
lenganlk1	6
vlenganlk1	172.0	240.0	0.0	0.0
vlenganlk1	182.0	285.0	100.0	0.0
vlenganlk1	182.0	300.0	100.0	100.0
vlenganlk1	172.0	320.0	0.0	100.0
vlenganlk1	147.0	300.0	0.0	0.0
vlenganlk1	172.0	240.0	100.0	0.0
lenganlk2	6
vlenganlk2	282.0	240.0	0.0	0.0
vlenganlk2	272.0	285.0	100.0	0.0
vlenganlk2	272.0	300.0	100.0	100.0
vlenganlk2	282.0	320.0	0.0	100.0
vlenganlk2	307.0	300.0	0.0	0.0
vlenganlk2	282.0	240.0	100.0	0.0
garisLenganlk	2
vgarislenganlk	280.0	315.0
vgarislenganlk	305.0	295.0
garisLenganlk2	2
vgarislenganlk2	174.0	315.0
vgarislenganlk2	149.0	295.0
celanalk1	4
vcelanalk1	187.0	360.0	0.0	100.0
vcelanalk1	267.0	360.0	100.0	0.0
vcelanalk1	267.0	370.0	100.0	100.0
vcelanalk1	187.0	370.0	0.0	0.0
celanalk2	9
vcelanalk2	187.0	370.0	0.0	0.0
vcelanalk2	267.0	370.0	0.0	0.0
vcelanalk2	277.0	400.0	100.0	0.0
vcelanalk2	279.0	700.0	100.0	100.0
vcelanalk2	237.0	700.0	0.0	100.0
vcelanalk2	227.0	450.0	50.0	50.0
vcelanalk2	217.0	700.0	0.0	100.0
vcelanalk2	175.0	700.0	100.0	100.0
vcelanalk2	177.0	400.0	100.0	0.0
celanalk3	12
vcelanalk3	267.0	370.0	0.0	0.0
vcelanalk3	277.0	400.0	100.0	0.0
vcelanalk3	267.0	400.0	100.0	100.0
vcelanalk3	257.0	390.0	100.0	100.0
vcelanalk3	252.0	370.0	0.0	100.0
vcelanalk3	267.0	370.0	0.0	100.0
vcelanalk3	187.0	370.0	0.0	0.0
vcelanalk3	177.0	400.0	100.0	0.0
vcelanalk3	187.0	400.0	100.0	100.0
vcelanalk3	197.0	390.0	100.0	100.0
vcelanalk3	202.0	370.0	0.0	100.0
vcelanalk3	187.0	370.0	0.0	100.0
garisCelanalk	6
vgariscelanalk	223.0	370.0
vgariscelanalk	223.0	420.0
vgariscelanalk	231.0	370.0
vgariscelanalk	231.0	420.0
vgariscelanalk	223.0	420.0
vgariscelanalk	231.0	420.0
